time,temp
1706023800.0,29.0
1706025600.0,29.2
1706027400.0,29.3
1706029200.0,29.4
1706031000.0,29.5
1706032800.0,29.7
1706034600.0,29.9
1706036400.0,30.2
1706038200.0,30.2
1706040000.0,30.0
1706041800.0,29.8
1706043600.0,29.9
1706045400.0,30.0
1706047200.0,29.9
1706049000.0,29.6
1706050800.0,29.4
1706052600.0,29.2
1706054400.0,29.1
1706056200.0,29.0
1706058000.0,28.9
1706059800.0,28.9
1706061600.0,28.8
1706063400.0,28.7
1706065200.0,28.7
1706067000.0,28.6
1706068800.0,28.4
1706070600.0,28.4
1706072400.0,28.3
1706074200.0,28.4
1706076000.0,28.2
1706077800.0,28.2
1706079600.0,28.1
1706081400.0,28.2
1706083200.0,28.5
1706085000.0,28.9
1706086800.0,29.1
1706088600.0,29.3
1706090400.0,29.4
1706092200.0,29.5
1706094000.0,29.6
1706095800.0,29.6
1706097600.0,29.8
1706099400.0,29.9
1706101200.0,29.9
1706103000.0,30.0
1706104800.0,30.2
1706106600.0,29.4
1706108400.0,29.6
1706110200.0,30.3
1706112000.0,30.7
1706113800.0,30.8
1706115600.0,30.9
1706117400.0,31.2
1706119200.0,31.2
1706121000.0,31.5
1706122800.0,31.5
1706124600.0,30.7
1706126400.0,28.6
1706128200.0,28.1
1706130000.0,27.8
1706131800.0,27.9
1706133600.0,27.6
1706135400.0,27.5
1706137200.0,27.5
1706139000.0,27.4
1706140800.0,27.5
1706142600.0,27.4
1706144400.0,27.3
1706146200.0,27.1
1706148000.0,26.9
1706149800.0,26.6
1706151600.0,25.7
1706153400.0,25.4
1706155200.0,25.3
1706157000.0,25.2
1706158800.0,25.1
1706160600.0,25.3
1706162400.0,25.4
1706164200.0,25.5
1706166000.0,25.5
1706167800.0,25.5
1706169600.0,25.6
1706171400.0,25.7
1706173200.0,25.8
1706175000.0,25.9
1706176800.0,26.4
1706178600.0,27.4
1706180400.0,27.9
1706182200.0,28.2
1706184000.0,28.6
1706185800.0,28.6
1706187600.0,28.4
1706189400.0,28.7
1706191200.0,28.7
1706193000.0,28.7
1706194800.0,28.2
1706196600.0,28.6
1706198400.0,28.6
1706200200.0,28.2
1706202000.0,27.7
1706203800.0,27.6
1706205600.0,26.9
1706207400.0,26.4
1706209200.0,26.3
1706211000.0,26.7
1706212800.0,27.0
1706214600.0,27.2
1706216400.0,27.3
1706218200.0,27.3
1706220000.0,27.4
1706221800.0,27.3
1706223600.0,27.3
1706225400.0,27.3
1706227200.0,27.3
1706229000.0,27.3
1706230800.0,26.8
1706232600.0,26.2
1706234400.0,25.8
1706236200.0,25.4
1706238000.0,25.2
1706239800.0,25.0
1706241600.0,24.5
1706243400.0,24.2
1706245200.0,24.1
1706247000.0,23.8
1706248800.0,23.6
1706250600.0,23.3
1706252400.0,23.2
1706254200.0,23.2
1706256000.0,23.3
1706257800.0,23.3
1706259600.0,23.7
1706261400.0,24.6
1706263200.0,25.1
1706265000.0,25.3
1706266800.0,25.7
1706268600.0,26.0
1706270400.0,26.3
1706272200.0,26.6
1706274000.0,26.5
1706275800.0,26.3
1706277600.0,26.5
1706279400.0,27.0
1706281200.0,27.3
1706283000.0,27.5
1706284800.0,27.4
1706286600.0,27.7
1706288400.0,27.8
1706290200.0,28.0
1706292000.0,27.5
1706293800.0,27.4
1706295600.0,27.4
1706297400.0,27.3
1706299200.0,26.3
1706301000.0,26.8
1706302800.0,27.0
1706304600.0,27.2
1706306400.0,27.3
1706308200.0,26.6
1706310000.0,25.9
1706311800.0,26.6
1706313600.0,26.5
1706315400.0,26.2
1706317200.0,25.9
1706319000.0,25.7
1706320800.0,25.5
1706322600.0,25.4
1706324400.0,25.1
1706326200.0,24.7
1706328000.0,24.3
1706329800.0,24.2
1706331600.0,24.0
1706333400.0,23.8
1706335200.0,23.6
1706337000.0,23.4
1706338800.0,23.4
1706340600.0,23.5
1706342400.0,23.7
1706344200.0,23.9
1706346000.0,24.2
1706347800.0,24.4
1706349600.0,24.5
1706351400.0,24.8
1706353200.0,24.9
1706355000.0,25.1
1706356800.0,25.5
1706358600.0,25.8
1706360400.0,26.1
1706362200.0,26.5
1706364000.0,26.9
1706365800.0,27.3
1706367600.0,27.7
1706369400.0,28.0
1706371200.0,28.3
1706373000.0,28.6
1706374800.0,28.9
1706376600.0,29.1
1706378400.0,28.9
